Full,ID,L1,L2,L3,R1,R2,R3
MSTRG.99|Solyc00g102400.3,Solyc00g102400.3,32.69728593,79.401601,24.20844539,1133.497454,1075.603228,965.398387
MSTRG.1321|Solyc01g087200.3,Solyc01g087200.3,1252.306051,1086.625614,1337.516608,299.3630731,203.052902,133.0806188
MSTRG.3074|Solyc02g027080.2,Solyc02g027080.2,2638.670974,3008.438438,2828.35337,4227.823038,4654.476211,4556.883391
MSTRG.3664|Solyc02g070410.2,Solyc02g070410.2,11.44405007,0,0,317.0527093,352.5879849,320.2957265
MSTRG.7534|Solyc04g007490.3,Solyc04g007490.3,1710.068054,1898.286424,2007.283597,4820.425848,4433.584036,4298.052866
MSTRG.7591|HCN-K,HeroK,0,0,0,854.5454997,734.5583018,726.8682949
MSTRG.7592|HCN-J,HeroJ,0,5.881600074,4.034740898,406.1812606,434.9634516,491.7216084
MSTRG.7593|HCN-C,HeroC,26.15782874,36.76000046,50.43426123,947.7562748,997.425237,969.9095945
MSTRG.7594|HCN-B,HeroB,6.539457185,0,0,452.4464628,464.8704682,435.8954166
MSTRG.7589|HCN-N,HeroN,0,0,0,83.00521574,104.9369003,113.3440863
MSTRG.7588|HCN-M,HeroM,9.809185778,4.411200056,24.20844539,621.1783768,746.1013608,788.8973969
MSTRG.7596|HCN-H,HeroH,0,0,24.20844539,4639.447263,3896.831791,4546.733175
MSTRG.7596|HCN-D,HeroD,0,0,0,2452.055717,3337.518113,2098.275349
MSTRG.7596|HCN-F,HeroF,3.269728593,5.881600074,0,5528.691665,5588.939308,5158.001779
MSTRG.7595|Hero_A,HeroA,1046.31315,1032.220813,762.5660298,4729.936556,4810.307508,4365.157076
MSTRG.7819|Solyc04g012010.3,Solyc04g012010.3,27.79269304,0,18.15633404,355.1534641,247.1264001,259.9583274
MSTRG.9196|Solyc05g005130.2,Solyc05g005130.2,4680.61648,4374.440055,4744.855296,3946.829971,4110.903068,3598.815716
MSTRG.9213|Solyc05g005330.3,Solyc05g005330.3,4605.412723,4696.457659,3972.202414,42.86334911,43.54881361,50.1871825
MSTRG.9350|Solyc05g007170.3,Solyc05g007170.3,57.22025037,30.87840039,50.43426123,6507.064617,6841.885897,5577.544069
Solyc05g007350.2|Solyc05g007350.2,Solyc05g007350.2,53.95052178,14.70400019,12.1042227,4.762594345,11.01837453,14.09752318
MSTRG.9381|Solyc05g007630.3,Solyc05g007630.3,6.539457185,0,0,3618.891332,3875.319727,3351.263209
MSTRG.9382|Solyc05g007640.3,Solyc05g007640.3,17.98350726,33.81920043,10.08685225,9663.984298,11060.87397,10093.26269
MSTRG.9413|Solyc05g008070.3,Solyc05g008070.3,0,0,0,0,0,0
MSTRG.9545|Solyc05g009750.1,Solyc05g009750.1,6.539457185,5.881600074,0,925.3040443,866.7787961,670.4782022
MSTRG.9544|Solyc05g009740.1,Solyc05g009740.1,1587.453232,1527.745619,1498.906244,3989.69332,4215.315283,3944.486984
MSTRG.9547|Solyc05g009760.2,Solyc05g009760.2,1605.436739,1904.168024,1500.923614,2884.771432,3377.918819,3135.289154
MSTRG.9689|Solyc05g012740.2,Solyc05g012740.2,27.79269304,14.70400019,22.19107494,3552.895382,3828.622806,3298.820423
MSTRG.9706|Solyc05g012900.3,Solyc05g012900.3,1327.509809,1233.665616,1291.117087,847.7417935,1424.518421,1202.236776
MSTRG.9707|Solyc05g012910.3,Solyc05g012910.3,65.39457185,39.7008005,125.0769678,266.7052833,281.2308927,219.9213615
MSTRG.9723|Solyc05g013260.2,Solyc05g013260.2,258.3085588,370.5408047,369.1787922,443.6016448,343.1436638,443.2261286
MSTRG.9724|Solyc05g013280.3,Solyc05g013280.3,7278.415847,7884.2849,7349.280546,3010.639997,3112.953146,2789.053985
Solyc05g054020.2|Solyc05g054020.2,Solyc05g054020.2,80.10835052,41.17120052,64.55585437,133.3526417,184.16426,163.5312688
MSTRG.10464|Solyc05g054010.3,Solyc05g054010.3,196.1837156,192.6224024,94.81641111,1807.064369,1938.709232,1559.749964
MSTRG.10464|Solyc05g053990.3,Solyc05g053990.3,642.5016684,711.673609,591.0895416,1223.306376,1305.939724,1185.319749
MSTRG.10480|Solyc05g054340.3,Solyc05g054340.3,2846.29874,2520.265632,2711.345884,1002.866295,1204.15093,938.8950435
Solyc06g008380.2|Solyc06g008380.2,Solyc06g008380.2,109.5359079,76.46080097,34.29529764,3.401853104,0,2.819504635
MSTRG.10848|Solyc06g008400.2,Solyc06g008400.2,37.60187881,0,0,3320.889,3820.227854,3323.068163
MSTRG.10848|Solyc06g008450.3,Solyc06g008450.3,1049.582878,991.0496125,889.6603681,3629.777262,3546.342544,3623.627357
MSTRG.10874|Solyc06g008770.2,Solyc06g008770.2,233.7855944,198.5040025,143.2333019,2281.282691,2286.575057,2019.32922
MSTRG.10874|Solyc06g008790.3,Solyc06g008790.3,70.29916474,142.6288018,44.38214988,2434.366081,2556.787575,2361.053181
MSTRG.10874|Solyc06g008800.2,Solyc06g008800.2,88.282672,88.22400111,44.38214988,1400.883108,1724.113271,1238.890337
MSTRG.11501|Solyc06g062440.3,Solyc06g062440.3,4157.459905,3721.582447,3843.090706,1036.884826,1051.467741,920.2863129
MSTRG.11593|Solyc06g064720.1,Solyc06g064720.1,13.07891437,8.822400111,0,396.6560719,455.9508316,498.4884195
MSTRG.11595|Solyc06g064760.1,Solyc06g064760.1,6.539457185,5.881600074,0,289.8378845,296.9714277,334.3932497
MSTRG.12616|Solyc07g005770.2,Solyc07g005770.2,528.0611677,571.9856072,548.7247622,404.1401487,493.7281157,368.7912063
MSTRG.12882|Solyc07g009180.1,Solyc07g009180.1,17.98350726,16.1744002,32.27792719,466.7342459,518.9129718,504.6913297
MSTRG.13420|Solyc07g049700.1,Solyc07g049700.1,76.83862193,57.34560072,54.46900213,206.8326687,217.744068,134.2084206
MSTRG.14109|Solyc07g066180.2,Solyc07g066180.2,42.5064717,0,8.069481797,1475.043506,1416.648154,1605.98984
MSTRG.14187|Solyc08g005500.3,Solyc08g005500.3,94.82212918,29.40800037,48.41689078,738.8824942,764.4653184,715.0263755
MSTRG.15028|Solyc08g074250.2,Solyc08g074250.2,17.98350726,0,6.052111348,371.4823589,364.6557284,378.377522
MSTRG.15555|Solyc08g081260.1,Solyc08g081260.1,475.7455102,652.8576082,760.5486593,1762.159908,1845.315391,1803.919066
MSTRG.17238|Solyc09g098100.3,Solyc09g098100.3,5058.270133,2162.958427,2053.683117,5040.865929,7027.099526,4914.96048
MSTRG.17242|Solyc09g098130.2,Solyc09g098130.2,4592.333808,2701.124834,2533.817284,1474.363135,2279.754158,804.6866229
MSTRG.17513|Solyc10g008230.2,Solyc10g008230.2,3011.420034,2182.073628,2162.621122,3208.627848,3244.648956,2580.974543
MSTRG.17513|Solyc10g008240.3,Solyc10g008240.3,22.88810015,197.0336025,24.20844539,127.9096767,190.460474,135.3362225
MSTRG.18834|Solyc11g006520.2,Solyc11g006520.2,0,0,0,89.80892194,162.6521954,42.85647045
MSTRG.18834|Solyc11g006530.2,Solyc11g006530.2,0,5.881600074,0,22.45223049,32.53043908,14.6614241
MSTRG.18841|Solyc11g006630.1,Solyc11g006630.1,0,0,0,4.082223725,79.2273597,3.947306489
MSTRG.18841|Solyc11g006640.2,Solyc11g006640.2,1925.870141,1618.91042,1539.253653,3969.282202,4299.264804,3692.42327
Solyc11g020090.1|Solyc11g020090.1,Solyc11g020090.1,1.634864296,0,0,0,0,0
MSTRG.19378|Solyc11g020100.2,Solyc11g020100.2,608.1695182,677.8544086,639.5064324,1671.670615,1710.471474,1558.058261
MSTRG.19900|Solyc11g069020.2,Solyc11g069020.2,333.5123164,283.7872036,334.8834946,670.1650615,561.9371009,585.3291622
MSTRG.20229|Solyc12g005970.1,Solyc12g005970.1,2548.753438,2624.664033,2245.33331,894.0069957,857.8591596,901.1136814
MSTRG.20234|Solyc12g006040.2,Solyc12g006040.2,120.9799579,61.75680078,70.60796572,515.0405599,427.0931841,378.941423
MSTRG.20428|Solyc12g009450.2,Solyc12g009450.2,116.075365,77.93120098,72.62533617,579.6757689,594.46754,534.0141779
MSTRG.20430|Solyc12g009460.1,Solyc12g009460.1,0,0,0,0,0,0.563900927
Solyc01g016960.1|Solyc01g016960.1,Solyc01g016960.1,0,0,0,0,0,0
Solyc04g011960.2|Solyc04g011960.2,Solyc04g011960.2,0,0,0,220.4400811,284.9036842,273.4919496
Solyc04g011980.1|Solyc04g011980.1,Solyc04g011980.1,0,1.470400019,0,159.2067253,140.0907618,206.9516402
Solyc04g011990.2|Solyc04g011990.2,Solyc04g011990.2,0,5.881600074,0,238.1297173,163.7015644,216.537956
Solyc04g012000.1|Solyc04g012000.1,Solyc04g012000.1,0,0,0,14.28778304,3.148107008,2.255603708
MSTRG.7902|Solyc04g015220.3,Solyc04g015220.3,0,10.29280013,0,15979.1844,15581.55564,14985.10323
MSTRG.9380|Solyc05g007610.2,Solyc05g007610.2,0,0,0,2834.424006,3534.799485,2844.880177
Solyc05g042090.1|Solyc05g042090.1,Solyc05g042090.1,0,0,0,0,0,0
Solyc05g043420.1|Solyc05g043420.1,Solyc05g043420.1,0,0,0,36.0596429,49.84502762,24.24773986
MSTRG.10099|Solyc05g044490.2,Solyc05g044490.2,0,0,0,1494.774254,1831.673594,1272.160491
MSTRG.10181|Solyc05g050430.1,Solyc05g050430.1,0,0,0,957.2814634,1177.392021,1007.690957
Solyc06g064680.1|Solyc06g064680.1,Solyc06g064680.1,0,4.411200056,0,119.0648586,137.9920238,142.1030336
Solyc06g064690.1|Solyc06g064690.1,Solyc06g064690.1,0,0,0,0,0,0
MSTRG.11594|Solyc06g064750.1,Solyc06g064750.1,0,0,0,969.5281346,1102.886822,1059.005941
MSTRG.11597|Solyc06g064780.1,Solyc06g064780.1,0,0,0,33.33816042,41.4500756,41.16476767
Solyc06g065000.2|Solyc06g065000.2,Solyc06g065000.2,0,7.352000093,0,39.46149601,58.23997964,44.54817323
Solyc09g064690.1|Solyc09g064690.1,Solyc09g064690.1,0,0,0,0,0,2.255603708
MSTRG.20721|Solyc12g017800.2,Solyc12g017800.2,0,0,0,1431.499786,1460.196967,935.5116379
Solyc12g038900.1|Solyc12g038900.1,Solyc12g038900.1,0,0,0,0,0,0
